URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.de/ValueSet/bfarm/atc,1.4.0,active,,ATC,null,"Anatomisch-therapeutisch-chemische Klassifkation (ATC) mit Tagesdosen deutsche Fassung","StructureDefinition/medication-statement,StructureDefinition/medication-administration","de.basisprofil.r4"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-pn-perineural-invasion-uicc,0.1.0,draft,,VS_TNM_Pn_Perineural_Invasion_UICC,ValueSet TNM Pn-Descriptor Perineural Invasion UICC,"This ValueSet contains the TNM degree of perineural (lymphatic nerve sheet) invasion codes used with the Pn-descriptor from TNM 8th edition UICC.","StructureDefinition/uicc-tnm","Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-prefix-cpu-uicc,0.1.0,draft,,VS_TNM_Prefix_CPU_UICC,ValueSet TNM Prefix CPU UICC,"This ValueSet contains the c, p and u prefixes for TNM stages from TNM 8th edition UICC.","StructureDefinition/uicc-tnm-prefix-cpu","Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-r-classification-uicc,0.1.0,draft,,VS_TNM_R_Classification_UICC,ValueSet TNM Residual Tumor (R) Classification UICC,"This ValueSet contains the TNM residual tumor (R) classification codes from TNM 8th edition UICC.","StructureDefinition/uicc-tnm-r-classification","Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-s-serum-tumor-markers-uicc,0.1.0,draft,,VS_TNM_S_Serum_Tumor_Markers_UICC,ValueSet TNM S Serum Tumour Markers UICC,"This ValueSet contains the TNM serum levels of tumor markers coded for germ cell tumors used with the S-symbol from TNM 8th edition UICC.","StructureDefinition/uicc-tnm","Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-stage-group-uicc,0.1.0,draft,,VS_TNM_Stage_Group_UICC,ValueSet TNM Stage Group UICC,"The ValueSet contains codes for the TNM stage groups ranging from I to IV to group cancer patients with similar prognosis from TNM 8th edition UICC.","StructureDefinition/uicc-tnm","Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-suffix-itc-sn-uicc,0.1.0,draft,,VS_TNM_Suffix_ITC_SN_UICC,ValueSet TNM Suffix ITC SN UICC,"This ValueSet contains the isolated tumor cells (ITC) sentinel lymph nodes (sn) suffix for the N-category in TNM from TNM 8th edition UICC.","StructureDefinition/uicc-tnm-suffix-itc-sn","Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-suffix-itc-uicc,0.1.0,draft,,VS_TNM_Suffix_ITC_UICC,ValueSet TNM Suffix ITC UICC,"This ValueSet contains the isolated tumor cells (ITC) suffixes for N- and M-category from TNM 8th edition UICC.","StructureDefinition/uicc-tnm-suffix-itc","Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-t-category-uicc,0.1.0,draft,,VS_TNM_T_Category_UICC,ValueSet TNM T Category UICC,"This ValueSet contains the TNM T category codes from TNM 8th edition UICC.","StructureDefinition/uicc-tnm","Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-t-multiplicity-uicc,0.1.0,draft,,VS_TNM_T_Multiplicity_UICC,ValueSet TNM T Multiplicity UICC,"This ValueSet contains the TNM primary tumor multiplicity codes used with the m-symbol from TNM 8th edition UICC.","StructureDefinition/uicc-tnm","Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-t-staging-type-loinc,0.1.0,draft,,VS_TNM_T_Staging_Type_LOINC,ValueSet TNM T Staging Type LOINC,"This ValueSet contains codes to specifiy the TNM primary tumor (T) category as clinical (cT) or pathological (pT).","StructureDefinition/uicc-tnm","LOINC"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-v-venous-invasion-uicc,0.1.0,draft,,VS_TNM_V_Venous_Invasion_UICC,ValueSet TNM V-Descriptor Venous Invasion UICC,"This ValueSet contains the TNM degree of venous invasion codes used with the V-descriptor from TNM 8th edition UICC.","StructureDefinition/uicc-tnm","Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/topography-icd-o-3,0.1.0,draft,,VS_Topography_ICD_O_3,ValueSet Topography ICD-O-3,"The ValueSet contains the topography codes from ICD-O-3.","StructureDefinition/histology-topography","THO"
https://www.vision-zero-oncology.de/fhir/ValueSet/topography-snomed,0.1.0,draft,,VS_Topography_SNOMED,ValueSet Topography SNOMED,"The ValueSet contains the topography codes from SNOMED CT.","StructureDefinition/histology-topography","SCT"
https://www.vision-zero-oncology.de/fhir/ValueSet/tumor-area-units,0.1.0,draft,,VS_Tumor_Area_Units,ValueSet Tumor Size Units ValueSet,"Acceptable units for measuring tumor areas","StructureDefinition/tumor-measurement","UCUM"
https://www.vision-zero-oncology.de/fhir/ValueSet/tumor-measurement-methods,0.1.0,draft,,VS_Tumor_Measurement_Methods,ValueSet Tumor Measurement Methods,"Codes for methods of measuring tumor size, including physical examination, pathology, and imaging.","StructureDefinition/tumor-measurement","SCT"
https://www.vision-zero-oncology.de/fhir/ValueSet/tumor-size-units,0.1.0,draft,,VS_Tumor_Size_Units,ValueSet Tumor Size Units,"Acceptable units for measuring tumor size","StructureDefinition/tumor-measurement","UCUM"
https://www.vision-zero-oncology.de/fhir/ValueSet/tumor-volume-units,0.1.0,draft,,VS_Tumor_Volume_Units,ValueSet Tumor Size Units Value Set,"Acceptable units for measuring tumor volumes","StructureDefinition/tumor-measurement","UCUM"
https://www.vision-zero-oncology.de/fhir/ValueSet/type-of-blinding-ncit,0.1.0,draft,,VS_TypeOfBlinding_NCIT,ValueSet Type of Blinding NCIt,"Type of Blinding aus NCI Thesaurus (NCIt)","StructureDefinition/clinical-study","hl7.terminology.r4"
https://www.vision-zero-oncology.de/fhir/ValueSet/type-of-randomization-ncit,0.1.0,draft,,VS_TypeOfRandomization_NCIT,ValueSet Type of Randomization NCIt,"Type of Randomization aus NCI Thesaurus (NCIt)","StructureDefinition/clinical-study","hl7.terminology.r4"
https://www.vision-zero-oncology.de/fhir/ValueSet/type-of-study-arm-ncit,0.1.0,draft,,VS_TypeOfStudyArm_NCIT,ValueSet Type of Study Arm NCIt,"Type of Study Arm aus NCI Thesaurus (NCIt)","StructureDefinition/clinical-study","hl7.terminology.r4"
https://www.vision-zero-oncology.de/fhir/ValueSet/vs-recsit-category-observation,0.1.0,draft,,VS_RECIST_Category_Observation,Valueset for Categories of a BodyStructure in the context of one RECIST procedure,"TODO","StructureDefinition/recist-category-observation","SCT"
https://www.vision-zero-oncology.de/fhir/ValueSet/vs-tnm-category-observation,0.1.0,draft,,VS_TNM_Category_Observation,Valueset for Categories of a BodyStructure in the context of one TNM procedure,"This Valueset contains the coded for the different categories for BodyStructures in the context of TNM (Tumor|Node|Metastase)","StructureDefinition/tnm-category-observation","LOINC"
https://www.vision-zero-oncology.de/fhir/ValueSet/vs-tnm-radiological-read-procedure,0.1.0,draft,,VS_TNM_Radiological_Read_Procedures,Valueset for TNM Radiological Read Procedures,"This Valueset contains the snomed codes of the different TNM tumor staging systems","StructureDefinition/radiological-tnm-read-procedure","SCT"
https://www.vision-zero-oncology.de/fhir/ValueSet/vs_recist_radiological_read_procedure,0.1.0,draft,,VS_RECIST_Radiological_Read_Procedures,Valueset for RECIST Radiological Read Procedures,"TODO","StructureDefinition/radiological-recist-read-procedure","SCT"
