/github/workspace/fsh-generated/resources/BodyStructure-example-body-structure.json: line 25, col 8, Error - Unable to resolve resource with reference 'ExampleCondition' (STRUCTURE)
/github/workspace/fsh-generated/resources/Observation-example-histologic-grade.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-histology-topography.json: line 40, col 8, Info - The definition for the Code System with URI 'http://terminology.hl7.org/CodeSystem/icd-o-3' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-histology-topography.json: line 40, col 8, Error - The code provided (http://terminology.hl7.org/CodeSystem/icd-o-3#8070/33) is not in the value set 'ValueSet Morphology ICD-O-3' (https://www.vision-zero-oncology.de/fhir/ValueSet/morphology-icd-o-3|0.1.0), and a code from this value set is required: Unable to check whether the code is in the value set https://www.vision-zero-oncology.de/fhir/ValueSet/morphology-icd-o-3|0.1.0 (CODEINVALID)
/github/workspace/fsh-generated/resources/Observation-example-histology-topography.json: line 54, col 8, Info - The definition for the Code System with URI 'http://terminology.hl7.org/CodeSystem/icd-o-3' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-histology-topography.json: line 54, col 8, Error - The code provided (http://terminology.hl7.org/CodeSystem/icd-o-3#C34.1) is not in the value set 'ValueSet Topography ICD-O-3' (https://www.vision-zero-oncology.de/fhir/ValueSet/topography-icd-o-3|0.1.0), and a code from this value set is required: Unable to check whether the code is in the value set https://www.vision-zero-oncology.de/fhir/ValueSet/topography-icd-o-3|0.1.0 (CODEINVALID)
/github/workspace/fsh-generated/resources/Observation-example-histology-topography.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-karnofsky-performance-status.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-recist-category-observation.json: line 29, col 6, Error - Unable to resolve resource with reference 'Procedure/exampleRECISTProcedure' (STRUCTURE)
/github/workspace/fsh-generated/resources/Observation-example-recist-category-observation.json: line 33, col 4, Error - Unable to resolve resource with reference 'Patient/examplePatient' (STRUCTURE)
/github/workspace/fsh-generated/resources/Observation-example-recist-category-observation.json: line 37, col 6, Error - Unable to resolve resource with reference 'BodyStructure/exampleBodyStructure' (STRUCTURE)
/github/workspace/fsh-generated/resources/Observation-example-recist-category-observation.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-recist-category-observation.json: line 1, col 2, Warning - All observations should have an effectiveDateTime or an effectivePeriod (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-tnm-R0.json: line 28, col 4, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-R0.json: line 30, col 8, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-R0.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-tnm-R1.json: line 28, col 4, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-R1.json: line 30, col 8, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-R1.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-tnm-TisN0M0.json: line 11, col 8, Info - The code '258235000' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-tnm-TisN0M0.json: line 28, col 4, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-TisN0M0.json: line 30, col 8, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-TisN0M0.json: line 48, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-TisN0M0.json: line 50, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-TisN0M0.json: line 68, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-TisN0M0.json: line 70, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-TisN0M0.json: line 88, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-TisN0M0.json: line 90, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-TisN0M0.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 11, col 8, Info - The code '258235000' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 156, col 4, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 158, col 8, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 28, col 12, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 30, col 16, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 48, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 50, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 62, col 12, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 64, col 16, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 74, col 12, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 76, col 16, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 86, col 12, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 88, col 16, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 106, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 108, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 120, col 12, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 122, col 16, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 140, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 142, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-cT3pN0mol-sncM1.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-tnm-category-observation.json: line 29, col 6, Error - Unable to resolve resource with reference 'Procedure/ExampleTNMProcedure' (STRUCTURE)
/github/workspace/fsh-generated/resources/Observation-example-tnm-category-observation.json: line 11, col 8, Info - The code '254353002' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-tnm-category-observation.json: line 33, col 4, Error - Unable to resolve resource with reference 'Patient/examplePatient' (STRUCTURE)
/github/workspace/fsh-generated/resources/Observation-example-tnm-category-observation.json: line 37, col 6, Error - Unable to resolve resource with reference 'BodyStructure/exampleBodyStructure' (STRUCTURE)
/github/workspace/fsh-generated/resources/Observation-example-tnm-category-observation.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-tnm-category-observation.json: line 1, col 2, Warning - All observations should have an effectiveDateTime or an effectivePeriod (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 11, col 8, Info - The code '258235000' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 184, col 4, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 186, col 8, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 27, col 12, Info - The code '277647002' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 36, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 48, col 12, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 50, col 16, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 68, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 70, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 81, col 12, Info - The code '277650004' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 88, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 90, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 102, col 12, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 104, col 16, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 114, col 12, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 116, col 16, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 134, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 136, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 148, col 12, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 150, col 16, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 168, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 170, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-rpT3mpN0icM0R1is.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 11, col 8, Info - The code '258235000' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 188, col 4, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 190, col 8, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 28, col 12, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 30, col 16, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 48, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 50, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 62, col 12, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 64, col 16, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 74, col 12, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 76, col 16, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 86, col 12, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 88, col 16, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 106, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 108, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 120, col 12, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 122, col 16, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 140, col 8, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 142, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-uT2a2pN0023i-sncM1.json: line 1, col 2, Warning - All observations should have a performer (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 11, col 8, Info - The code '258235000' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 256, col 4, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 258, col 8, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 27, col 12, Info - The code '277649004' is valid but is not active (INVALID)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 36, col 12, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 48, col 12, Warning - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
/github/workspace/fsh-generated/resources/Observation-example-tnm-ypT1bpN139snL0V0Pn1cM0R0.json: line 50, col 16, Info - Code System URI 'urn:oid:2.16.840.1.113883.15.16' is unknown so the code cannot be validated (UNKNOWN)
